sentiment,text
1,"Great chicken and rib combs which include a drink. Can't beat that!. Ribs are seasoned and cooked to perfection. Even though, the restaurant provides you with a secret sauce, you don't need any sauce. The secret sauce is sweet and tangy. \n\nThey have many interesting side dishes. The spinach and feta salad is perfectly blended. They have a wide variety of healthy menu choices including wraps. The cucumber salad is divine! You can find it in the free salad bar. It's sweet, salty, and sour taste plays tricks with your tongue. \n\nLooking to cater an event? They will do it for you!"
0,"This place is a joke.  The food tastes like it came out of cans and boxes, absolutely no flavor at all, overpriced, and the person who took our order was rude and generally unpleasant.  If you want good Italian food go to Gaetano's.  It's just a few miles north on Eastern.  It is much better the atmosphere is much more pleasant, and the people are friendly and knowledgeable.  Or if you are willing to go a little further there is also Maggiano's Little Italy, at the fashion show Mall.  Go anywhere, but but this place, it is a waste of time and money."
1,"Good food with a fun atmosphere.  I like everything that I get here, sometimes they get a little crowded and the service can be slightly on the slow side, but overall it's worth at least one visit."
0,"What a painful process it was purchasing our car here. If it was a brand new vehicle, we would've DEFINITELY headed to another dealership...but my husband fell in love with a used car here, so we stayed despite our better judgement. \n\nOur salesman Mark was very nice, but the way he had to keep going back and forth with his badboy sales manager Chris to negotiate and kept playing the \""I'm stuck in the middle\"" song over and over, it quickly became annoying. After 2+ hours of getting nowhere, my husband gave up and left. They called him back numerous times with the \""it won't last at this price\"" and \""after today the price goes up $500\"" shpeel. All of a sudden it was \""urgent\"" that he decide. He told them he needed to think it over after they just pissed him off. So we go back a few days later after he cools down and guess what...the car is still there!! He signs the purchase agreement and gives a $500 deposit check (which we're told would be destroyed when they receive our bank funds and we pick up the car), no problem. A few days later I check our banking transactions online and find they have cashed the deposit check. Say what? That wasn't the plan. Ok...I'm assuming they'll just issue us a check for the $500 overpayment when we pick up the car. NOPE. They tell us it is their \""policy\"" to wait until the certified bank funds clear. Makes no sense, but I'm so frustrated at this point, we drive home the car that we just overpaid for...which by the way was not cleaned out (soda in the cup holder, floor carpet on driver's side dirty) AND was only filled with 1/4 tank of gas. I'm not exactly sure what their miscellaneous dealership \""fees\"" cover, but a full tank of gas is not an unreasonable expectation. \n\nFast forward 3 weeks later and after a phone call with their finance manager Josh, who could provide no reasonable excuse for the delay, we finally received a check for overpayment on the car. Never again will we do business here. Ever. Not when there are a thousand other dealerships around town."
1,"Headed here yesterday in search of a food mill.  Although they didn't have one, they were super helpful in suggesting places that might.  The place is orderly, clean and the staff was very friendly."
1,"Not sure what Taina was referring to below, her photo of her nails looks completely normal. Despite that review I went here a few hours after, had my nails done by the same gentleman and love them! They were great, had nice conversation and my nails look exactly as I had hoped. I will be back, and they even guaranteed their work for two weeks. Taina should try speaking up during a service if it is not to her liking. Geez."
1,"Ohhhhhh Chevy's how I love you. Their chicken fajita salad is one of my favorite salads anywhere. Crispy greens, grilled chicken, pepita seeds, avocado, salsa...yes please. Chevy's also likes to do a fruit of the month where they will make lemonades and margarita's using this fresh fruit puree. I had a cantalope lemonade, and let me say, one of the most refreshing delicious drinks EVER! I've also had their watermelon lemonade and mango lemonade, also great. Their chips and salsa are always great as well. The only so-so occasionally is the service."
1,This is the best Chinese place in Las Vegas! If you ever get a chance please check this place out. I've been going here for a couple of years and the owners wife still remembers me and my family. Lunch special is $6 huge portions and you also get soup. The hot and sour soup is the way to go. Also order a side of chicken wings. I've brought many of my friends here and they've enjoyed it just as much as I have. I don't really write reviews but for Mr. Beijing it's a must. Echo (the owners wife) she is great!  Always enjoy having lunch or dinner here! It may be small but the food will blow your taste buds.
0,"food sucks, service sucks...but the waiters sing and thats a barrel of laughs. theres also a gay guy who works there, and he must be the only gay in that village...vegas is way homophobic."
0,"The view is nice.  Food was terrible.  When we called they made a point to tell us there was a dress code, so we dressed for the occasion.  The bar above us had locals in concert t-shirts and flip flops hanging over the railing above us.  $200 for dinner and the food was really bad.  Not worth the price or the effort getting dressed up."
